,class,cap-diameter,cap-shape,gill-attachment,gill-color,stem-height,stem-width,stem-color,season
0,1,1372.0,2.0,2.0,10.0,3.8074667544799383,1545.0,11.0,1.804272708628173
1,1,1461.0,2.0,2.0,10.0,3.8074667544799383,1557.0,11.0,1.804272708628173
2,1,1371.0,2.0,2.0,10.0,3.6124962945838073,1566.0,11.0,1.804272708628173
3,1,1261.0,6.0,2.0,10.0,3.7875718095925786,1566.0,11.0,1.804272708628173
4,1,1305.0,6.0,2.0,10.0,3.711971019020609,1464.0,11.0,0.9431945538974952
5,1,1337.0,6.0,2.0,10.0,3.775634842660162,1520.0,11.0,0.9431945538974952
6,1,1300.0,2.0,2.0,10.0,3.8353196773222433,1563.0,11.0,1.804272708628173
7,1,1354.0,6.0,2.0,10.0,3.67616011822336,1532.0,11.0,0.8884502877862838
8,1,1222.0,6.0,2.0,10.0,3.7716558536826894,1476.0,11.0,0.9431945538974952
9,1,1085.0,6.0,2.0,10.0,3.775634842660162,1581.0,11.0,0.8884502877862838
10,1,1214.0,6.0,2.0,10.0,3.696055063110721,1524.0,11.0,1.804272708628173
11,1,642.0,6.0,2.0,10.0,0.2860615094171533,1311.0,11.0,0.9431945538974952
12,1,814.0,4.0,2.0,10.0,1.1892920073033142,1681.0,11.0,0.9431945538974952
13,1,550.0,4.0,2.0,10.0,0.5486747819303103,1220.0,11.0,0.8884502877862838
14,1,606.0,6.0,2.0,10.0,0.2542295975973768,1239.0,11.0,0.9431945538974952
15,1,721.0,6.0,2.0,10.0,0.9505526686549896,1445.0,11.0,0.9431945538974952
16,1,595.0,6.0,2.0,10.0,0.6043806276149193,1415.0,11.0,0.8884502877862838
17,1,661.0,4.0,2.0,10.0,0.4372630905610921,1150.0,11.0,0.8884502877862838
18,1,587.0,6.0,2.0,10.0,0.5964226496599752,1531.0,11.0,0.9431945538974952
19,1,835.0,6.0,2.0,10.0,0.9067837899027968,1603.0,11.0,0.8884502877862838
20,1,705.0,4.0,2.0,10.0,0.0831330715660775,1122.0,11.0,0.8884502877862838
21,1,599.0,4.0,2.0,10.0,0.5765277047726147,1306.0,11.0,0.8884502877862838
22,1,619.0,4.0,2.0,10.0,0.3895152228314272,1195.0,11.0,0.9431945538974952
23,1,648.0,6.0,2.0,10.0,0.7277292859165536,1370.0,11.0,0.8884502877862838
24,1,778.0,6.0,2.0,10.0,0.8112880544434671,1514.0,11.0,0.9431945538974952
25,1,692.0,6.0,2.0,10.0,0.6521284953445842,1307.0,11.0,0.9431945538974952
26,1,804.0,4.0,2.0,10.0,0.8709728891055483,1517.0,11.0,0.8884502877862838
27,1,660.0,6.0,2.0,10.0,0.9823845804747664,1626.0,11.0,0.9431945538974952
